trans_name,OG_name,sp_name,tissue,dnds,pnps,cons_gene_by_tiss
Tdi_TRINITY_DN66913_c0_g1_i1,OG-1185_,Tdi,WB,NA,NA,NO
Tms_TRINITY_DN29376_c0_g1_i1,OG-498_,Tms,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN7099_c0_g1_i1,OG-1643_,Tsi,WB,1.00E-04,NA,NO
Tte_TRINITY_DN26508_c0_g2_i3,OG-883_,Tte,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN5754_c0_g1_i1,OG-723_,Tdi,WB,0.419985,NA,NO
Tte_TRINITY_DN11468_c0_g1_i1,OG-1247_,Tte,WB,0.444884,NA,NO
Tsi_TRINITY_DN42743_c0_g1_i1,OG-2806_,Tsi,WB,NA,NA,NO
Tms_TRINITY_DN47584_c0_g1_i1,OG-936_,Tms,WB,1.00E-04,NA,NO
Tms_TRINITY_DN29213_c0_g1_i2,OG-803_,Tms,WB,NA,NA,NO
Tdi_TRINITY_DN17984_c0_g1_i1,OG-2890_,Tdi,WB,1.00E-04,NA,NO
Tms_TRINITY_DN40011_c0_g1_i1,OG-348_,Tms,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN16848_c0_g1_i1,OG-1945_,Tsi,WB,NA,0,YES
Tge_TRINITY_DN34459_c0_g1_i1,OG-944_,Tge,WB,0.59558,0,NO
Tms_TRINITY_DN29507_c1_g2_i2,OG-404_,Tms,WB,NA,NA,NO
Tdi_TRINITY_DN25720_c0_g1_i1,OG-55_,Tdi,WB,0.078323,0.327544286,NO
Tsi_TRINITY_DN12785_c0_g1_i1,OG-1498_,Tsi,WB,0.218562,NA,NO
Tms_TRINITY_DN71435_c0_g1_i1,OG-2241_,Tms,WB,0.887457,NA,NO
Tge_TRINITY_DN16367_c0_g1_i1,OG-2313_,Tge,WB,1.00E-04,0,NO
Tsi_TRINITY_DN30670_c1_g3_i5,OG-1889_,Tsi,WB,1.00E-04,0,NO
Tdi_TRINITY_DN7919_c0_g1_i1,OG-774_,Tdi,WB,0.0799695,NA,NO
Tdi_TRINITY_DN2936_c0_g1_i1,OG-1822_,Tdi,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN28002_c0_g1_i4,OG-1449_,Tsi,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN32293_c0_g1_i1,OG-2889_,Tsi,WB,NA,NA,NO
Tsi_TRINITY_DN30125_c1_g1_i1,OG-1347_,Tsi,WB,1.00E-04,0,NO
Tge_TRINITY_DN43026_c0_g1_i1,OG-873_,Tge,WB,1.00E-04,0,NO
Tms_TRINITY_DN30952_c4_g6_i2,OG-1615_,Tms,WB,NA,NA,NO
Tms_TRINITY_DN12538_c0_g2_i1,OG-953_,Tms,WB,0.171446,NA,NO
Tge_TRINITY_DN25257_c0_g1_i2,OG-2686_,Tge,WB,0.244306,0,NO
Tte_TRINITY_DN2942_c0_g2_i1,OG-2095_,Tte,WB,NA,NA,NO
Tdi_TRINITY_DN31918_c6_g4_i1,OG-1959_,Tdi,WB,NA,NA,NO
Tsi_TRINITY_DN3747_c0_g1_i1,OG-2881_,Tsi,WB,NA,0,NO
Tms_TRINITY_DN3531_c0_g1_i1,OG-2021_,Tms,WB,0.170006,NA,NO
Tge_TRINITY_DN44915_c0_g2_i1,OG-2750_,Tge,WB,NA,0.05323741,NO
Tsi_TRINITY_DN16747_c0_g2_i1,OG-318_,Tsi,WB,NA,NA,NO
Tsi_TRINITY_DN62461_c0_g1_i1,OG-2614_,Tsi,WB,1.00E-04,NA,NO
Tge_TRINITY_DN41836_c0_g1_i1,OG-524_,Tge,WB,0.283294,0.107611549,NO
Tte_TRINITY_DN64500_c0_g1_i1,OG-264_,Tte,WB,NA,NA,NO
Tte_TRINITY_DN39338_c0_g1_i1,OG-2477_,Tte,WB,1.00E-04,NA,NO
Tte_TRINITY_DN63991_c0_g1_i1,OG-2783_,Tte,WB,NA,NA,NO
Tms_TRINITY_DN47554_c0_g1_i1,OG-1368_,Tms,WB,NA,NA,NO
Tdi_TRINITY_DN69330_c0_g1_i1,OG-3000_,Tdi,WB,NA,NA,NO
Tte_TRINITY_DN9088_c0_g1_i1,OG-2406_,Tte,WB,NA,NA,NO
Tms_TRINITY_DN31362_c8_g2_i1,OG-2959_,Tms,WB,1.00E-04,NA,NO
Tge_TRINITY_DN36476_c0_g1_i2,OG-2124_,Tge,WB,NA,NA,NO
Tge_TRINITY_DN44958_c0_g1_i2,OG-28_,Tge,WB,0.247361,0.402767017,NO
Tsi_TRINITY_DN16856_c0_g1_i1,OG-756_,Tsi,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN7050_c0_g1_i2,OG-1883_,Tsi,WB,NA,0.242133333,NO
Tsi_TRINITY_DN13538_c0_g2_i1,OG-251_,Tsi,WB,0.550091,NA,NO
Tge_TRINITY_DN78931_c0_g1_i1,OG-2228_,Tge,WB,1.00E-04,NA,NO
Tte_TRINITY_DN29024_c0_g1_i1,OG-2301_,Tte,WB,1.00E-04,0,NO
Tsi_TRINITY_DN62152_c0_g1_i1,OG-2187_,Tsi,WB,NA,NA,NO
Tte_TRINITY_DN22900_c0_g1_i2,OG-636_,Tte,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN14988_c0_g1_i1,OG-2810_,Tdi,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN25853_c0_g1_i1,OG-749_,Tdi,WB,0.0562654,NA,NO
Tms_TRINITY_DN17639_c0_g1_i1,OG-88_,Tms,WB,0.481987,NA,NO
Tte_TRINITY_DN24800_c0_g2_i1,OG-218_,Tte,WB,1.00E-04,NA,NO
Tte_TRINITY_DN25282_c0_g1_i2,OG-718_,Tte,WB,1.00E-04,NA,NO
Tte_TRINITY_DN6802_c0_g2_i1,OG-1521_,Tte,WB,NA,NA,NO
Tge_TRINITY_DN37813_c0_g1_i1,OG-2743_,Tge,WB,1.00E-04,NA,NO
Tge_TRINITY_DN40902_c0_g1_i3,OG-1461_,Tge,WB,0.15849,0.319852941,NO
Tms_TRINITY_DN25071_c0_g1_i4,OG-40_,Tms,WB,0.0771681,NA,NO
Tte_TRINITY_DN22877_c0_g1_i3,OG-339_,Tte,WB,1.00E-04,NA,NO
Tms_TRINITY_DN21656_c0_g2_i1,OG-735_,Tms,WB,0.812371,NA,NO
Tge_TRINITY_DN30570_c0_g1_i1,OG-1799_,Tge,WB,NA,0,NO
Tdi_TRINITY_DN33679_c0_g1_i1,OG-598_,Tdi,WB,0.127332,NA,NO
Tms_TRINITY_DN8335_c0_g1_i1,OG-1487_,Tms,WB,NA,NA,YES
Tms_TRINITY_DN26688_c0_g1_i1,OG-567_,Tms,WB,0.211126,0.341838649,NO
Tte_TRINITY_DN13147_c0_g1_i1,OG-551_,Tte,WB,NA,NA,NO
Tdi_TRINITY_DN31573_c10_g9_i1,OG-1577_,Tdi,WB,NA,NA,NO
Tge_TRINITY_DN34790_c0_g1_i1,OG-2337_,Tge,WB,NA,NA,NO
Tms_TRINITY_DN63288_c0_g1_i1,OG-2944_,Tms,WB,NA,NA,NO
Tms_TRINITY_DN30048_c1_g2_i1,OG-2307_,Tms,WB,0.300414,NA,NO
Tsi_TRINITY_DN48405_c0_g1_i1,OG-2690_,Tsi,WB,1.00E-04,NA,NO
Tte_TRINITY_DN27768_c1_g2_i9,OG-1953_,Tte,WB,0.796398,NA,YES
Tdi_TRINITY_DN45224_c1_g1_i1,OG-559_,Tdi,WB,1.00E-04,NA,NO
Tge_TRINITY_DN3411_c0_g1_i2,OG-499_,Tge,WB,NA,NA,NO
Tte_TRINITY_DN26560_c1_g1_i1,OG-1681_,Tte,WB,NA,NA,NO
Tsi_TRINITY_DN213_c0_g1_i1,OG-1017_,Tsi,WB,0.708829,NA,NO
Tdi_TRINITY_DN3942_c0_g2_i1,OG-1893_,Tdi,WB,NA,NA,NO
Tte_TRINITY_DN29919_c0_g3_i1,OG-222_,Tte,WB,0.454799,NA,NO
Tsi_TRINITY_DN2972_c0_g1_i1,OG-1606_,Tsi,WB,0.409617,NA,NO
Tms_TRINITY_DN28262_c0_g3_i5,OG-1219_,Tms,WB,0.116928,0,NO
Tdi_TRINITY_DN59432_c0_g1_i1,OG-2527_,Tdi,WB,1.00E-04,NA,NO
Tte_TRINITY_DN72558_c0_g1_i1,OG-1627_,Tte,WB,0.12843,NA,NO
Tsi_TRINITY_DN22110_c0_g1_i2,OG-2919_,Tsi,WB,NA,NA,NO
Tms_TRINITY_DN24733_c0_g1_i2,OG-1571_,Tms,WB,0.164332,NA,NO
Tdi_TRINITY_DN23925_c0_g3_i1,OG-1785_,Tdi,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN2706_c0_g1_i1,OG-1021_,Tsi,WB,NA,NA,NO
Tdi_TRINITY_DN59745_c0_g1_i1,OG-2142_,Tdi,WB,1.00E-04,NA,NO
Tge_TRINITY_DN44135_c0_g1_i4,OG-777_,Tge,WB,0.410063,NA,NO
Tdi_TRINITY_DN32238_c0_g1_i1,OG-130_,Tdi,WB,0.259446,NA,NO
Tdi_TRINITY_DN25004_c0_g1_i2,OG-380_,Tdi,WB,1.00E-04,0.348553055,NO
Tms_TRINITY_DN31531_c1_g2_i1,OG-86_,Tms,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN32019_c7_g4_i1,OG-1563_,Tdi,WB,NA,NA,NO
Tte_TRINITY_DN13177_c0_g1_i1,OG-934_,Tte,WB,1.00E-04,NA,NO
Tte_TRINITY_DN13429_c0_g1_i1,OG-1434_,Tte,WB,NA,NA,NO
Tdi_TRINITY_DN22838_c0_g1_i1,OG-176_,Tdi,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN31284_c0_g2_i1,OG-503_,Tdi,WB,NA,0.083093784,NO
Tdi_TRINITY_DN28532_c0_g1_i17,OG-139_,Tdi,WB,0.260185,NA,NO
Tge_TRINITY_DN40879_c0_g1_i1,OG-1042_,Tge,WB,0.121313,0.655544652,NO
Tms_TRINITY_DN63504_c0_g1_i1,OG-214_,Tms,WB,0.216216,NA,NO
Tsi_TRINITY_DN4844_c0_g1_i1,OG-106_,Tsi,WB,0.065629,NA,NO
Tte_TRINITY_DN27607_c0_g1_i1,OG-26_,Tte,WB,0.0913525,NA,NO
Tms_TRINITY_DN28991_c0_g6_i1,OG-2262_,Tms,WB,1.00E-04,NA,NO
Tms_TRINITY_DN55656_c0_g1_i1,OG-2947_,Tms,WB,NA,NA,NO
Tdi_TRINITY_DN28958_c0_g1_i2,OG-1686_,Tdi,WB,1.00E-04,NA,NO
Tte_TRINITY_DN4707_c0_g1_i1,OG-1174_,Tte,WB,0.327008,NA,NO
Tte_TRINITY_DN17483_c0_g2_i1,OG-1751_,Tte,WB,1.00E-04,0.199614478,NO
Tdi_TRINITY_DN785_c0_g2_i1,OG-1937_,Tdi,WB,0.0615256,NA,NO
Tsi_TRINITY_DN46139_c0_g1_i1,OG-903_,Tsi,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN22496_c0_g3_i2,OG-1436_,Tdi,WB,1.00E-04,NA,NO
Tms_TRINITY_DN13440_c0_g2_i1,OG-490_,Tms,WB,0.37165,NA,NO
Tge_TRINITY_DN27540_c0_g1_i1,OG-793_,Tge,WB,0.464003,NA,NO
Tte_TRINITY_DN23333_c0_g1_i1,OG-380_,Tte,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN31072_c0_g2_i6,OG-1122_,Tsi,WB,0.485792,0.077639752,NO
Tge_TRINITY_DN23852_c0_g1_i1,OG-2727_,Tge,WB,1.00E-04,NA,NO
Tte_TRINITY_DN8698_c0_g2_i1,OG-982_,Tte,WB,1.00E-04,NA,NO
Tms_TRINITY_DN24744_c0_g1_i1,OG-2357_,Tms,WB,0.234086,NA,NO
Tms_TRINITY_DN48767_c0_g1_i1,OG-2940_,Tms,WB,NA,NA,NO
Tge_TRINITY_DN46984_c1_g1_i1,OG-1788_,Tge,WB,NA,NA,NO
Tms_TRINITY_DN26398_c0_g2_i3,OG-648_,Tms,WB,0.105773,NA,NO
Tte_TRINITY_DN25219_c0_g1_i1,OG-373_,Tte,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN25599_c0_g1_i1,OG-2044_,Tdi,WB,NA,NA,NO
Tge_TRINITY_DN47317_c0_g1_i1,OG-405_,Tge,WB,0.212694,0.931101722,NO
Tte_TRINITY_DN27191_c0_g1_i3,OG-569_,Tte,WB,1.00E-04,0,NO
Tms_TRINITY_DN27129_c0_g1_i3,OG-1994_,Tms,WB,NA,0.655974338,NO
Tte_TRINITY_DN40068_c0_g1_i1,OG-1321_,Tte,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN53116_c0_g1_i1,OG-356_,Tsi,WB,1.00E-04,NA,NO
Tge_TRINITY_DN18925_c0_g2_i1,OG-267_,Tge,WB,0.189529,0,NO
Tte_TRINITY_DN30661_c0_g1_i1,OG-1529_,Tte,WB,NA,NA,NO
Tdi_TRINITY_DN3997_c0_g1_i1,OG-2048_,Tdi,WB,0.195169,NA,NO
Tsi_TRINITY_DN30810_c0_g1_i1,OG-1361_,Tsi,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN30665_c0_g1_i1,OG-978_,Tdi,WB,1.00E-04,0.353623188,NO
